quiz,score,unit
Quiz 11,9,ST_UG
Quiz Tot,10,ST_UG
Quiz 1,8,ST_UG
Quiz 2,10,ST_UG
Quiz 3,13,ST_UG
Quiz 4,12,ST_UG
Quiz 5,11,ST_UG
Quiz 6,13,ST_UG
Quiz 7,13,ST_UG
Quiz 8,6,ST_UG
Quiz 9,8,ST_UG
Quiz 10,10,ST_UG
Quiz 11,9,ST_UG
Quiz Tot,8.433333333333334,ST_UG
Quiz 1,12,ST_PG
Quiz 2,15,ST_PG
Quiz 3,15,ST_PG
Quiz 4,12,ST_PG
Quiz 5,15,ST_PG
Quiz 6,13,ST_PG
Quiz 7,15,ST_PG
Quiz 8,10,ST_PG
Quiz 9,10,ST_PG
Quiz 10,13,ST_PG
Quiz 11,9,ST_PG
Quiz Tot,10,ST_PG
Quiz 1,13,ST_UG
Quiz 2,15,ST_UG
Quiz 3,12,ST_UG
Quiz 4,13,ST_UG
Quiz 5,9,ST_UG
Quiz 6,13,ST_UG
Quiz 7,14,ST_UG
Quiz 8,4,ST_UG
Quiz 9,7,ST_UG
Quiz 10,14,ST_UG
Quiz 11,0,ST_UG
Quiz Tot,8.233333333333333,ST_UG
Quiz 1,0,ST_UG
Quiz 2,10,ST_UG
Quiz 3,0,ST_UG
Quiz 4,12,ST_UG
Quiz 5,9,ST_UG
Quiz 6,11,ST_UG
Quiz 7,0,ST_UG
Quiz 8,3,ST_UG
Quiz 9,8,ST_UG
Quiz 10,12,ST_UG
Quiz 11,4,ST_UG
Quiz Tot,5.766666666666667,ST_UG
Quiz 1,12,ST_UG
Quiz 2,15,ST_UG
Quiz 3,15,ST_UG
Quiz 4,11,ST_UG
Quiz 5,14,ST_UG
Quiz 6,14,ST_UG
Quiz 7,12,ST_UG
Quiz 8,9,ST_UG
Quiz 9,10,ST_UG
Quiz 10,15,ST_UG
Quiz 11,10,ST_UG
Quiz Tot,10,ST_UG
Quiz 1,8,ST_UG
Quiz 2,12,ST_UG
Quiz 3,15,ST_UG
Quiz 4,13,ST_UG
Quiz 5,14,ST_UG
Quiz 6,15,ST_UG
Quiz 7,13,ST_UG
Quiz 8,10,ST_UG
Quiz 9,10,ST_UG
Quiz 10,14,ST_UG
Quiz 11,9,ST_UG
Quiz Tot,9.966666666666667,ST_UG
Quiz 1,14,ST_UG
Quiz 2,14,ST_UG
Quiz 3,15,ST_UG
Quiz 4,13,ST_UG
Quiz 5,14,ST_UG
Quiz 6,13,ST_UG
Quiz 7,13,ST_UG
Quiz 8,8,ST_UG
Quiz 9,9,ST_UG
Quiz 10,14,ST_UG
Quiz 11,10,ST_UG
Quiz Tot,9.9,ST_UG
Quiz 1,0,ST_UG
Quiz 2,0,ST_UG
Quiz 3,0,ST_UG
Quiz 4,0,ST_UG
Quiz 5,0,ST_UG
Quiz 6,0,ST_UG
Quiz 7,0,ST_UG
Quiz 8,0,ST_UG
Quiz 9,4,ST_UG
Quiz 10,0,ST_UG
Quiz 11,0,ST_UG
Quiz Tot,1.0666666666666667,ST_UG
Quiz 1,14,ST_UG
Quiz 2,15,ST_UG
Quiz 3,15,ST_UG
Quiz 4,15,ST_UG
Quiz 5,14,ST_UG
Quiz 6,15,ST_UG
Quiz 7,15,ST_UG
Quiz 8,9,ST_UG
Quiz 9,10,ST_UG
Quiz 10,15,ST_UG
Quiz 11,10,ST_UG
Quiz Tot,10,ST_UG
Quiz 1,11,ST_UG
Quiz 2,15,ST_UG
Quiz 3,13,ST_UG
Quiz 4,8,ST_UG
Quiz 5,11,ST_UG
Quiz 6,0,ST_UG
Quiz 7,11,ST_UG
Quiz 8,10,ST_UG
Quiz 9,10,ST_UG
Quiz 10,13,ST_UG
Quiz 11,8,ST_UG
Quiz Tot,8.933333333333334,ST_UG
Quiz 1,10,ST_UG
Quiz 2,9,ST_UG
Quiz 3,13,ST_UG
Quiz 4,12,ST_UG
Quiz 5,9,ST_UG
Quiz 6,13,ST_UG
Quiz 7,10,ST_UG
Quiz 8,8,ST_UG
Quiz 9,7,ST_UG
Quiz 10,0,ST_UG
Quiz 11,0,ST_UG
Quiz Tot,7.233333333333333,ST_UG
Quiz 1,12,ST_PG
Quiz 2,15,ST_PG
Quiz 3,15,ST_PG
Quiz 4,13,ST_PG
Quiz 5,13,ST_PG
Quiz 6,14,ST_PG
Quiz 7,15,ST_PG
Quiz 8,10,ST_PG
Quiz 9,10,ST_PG
Quiz 10,14,ST_PG
Quiz 11,10,ST_PG
Quiz Tot,10,ST_PG
Quiz 1,0,ST_UG
Quiz 2,15,ST_UG
Quiz 3,14,ST_UG
Quiz 4,14,ST_UG
Quiz 5,13,ST_UG
Quiz 6,14,ST_UG
Quiz 7,14,ST_UG
Quiz 8,9,ST_UG
Quiz 9,9,ST_UG
Quiz 10,14,ST_UG
Quiz 11,8,ST_UG
Quiz Tot,9.799999999999999,ST_UG
Quiz 1,0,ST_UG
Quiz 2,14,ST_UG
Quiz 3,12,ST_UG
Quiz 4,13,ST_UG
Quiz 5,12,ST_UG
Quiz 6,12,ST_UG
Quiz 7,12,ST_UG
Quiz 8,8,ST_UG
Quiz 9,9,ST_UG
Quiz 10,13,ST_UG
Quiz 11,9,ST_UG
Quiz Tot,9.133333333333333,ST_UG
Quiz 1,11,ST_UG
Quiz 2,15,ST_UG
Quiz 3,13,ST_UG
Quiz 4,12,ST_UG
Quiz 5,11,ST_UG
Quiz 6,12,ST_UG
Quiz 7,15,ST_UG
Quiz 8,7,ST_UG
Quiz 9,10,ST_UG
Quiz 10,14,ST_UG
Quiz 11,6,ST_UG
Quiz Tot,9.133333333333333,ST_UG
Quiz 1,13,ST_UG
Quiz 2,15,ST_UG
Quiz 3,15,ST_UG
Quiz 4,14,ST_UG
Quiz 5,15,ST_UG
Quiz 6,15,ST_UG
Quiz 7,14,ST_UG
Quiz 8,9,ST_UG
Quiz 9,10,ST_UG
Quiz 10,14,ST_UG
Quiz 11,8,ST_UG
Quiz Tot,10,ST_UG
Quiz 1,0,ST_UG
Quiz 2,15,ST_UG
Quiz 3,15,ST_UG
Quiz 4,14,ST_UG
Quiz 5,15,ST_UG
Quiz 6,11,ST_UG
Quiz 7,12,ST_UG
Quiz 8,9,ST_UG
Quiz 9,9,ST_UG
Quiz 10,11,ST_UG
Quiz 11,6,ST_UG
Quiz Tot,9.266666666666667,ST_UG
Quiz 1,14,ST_UG
Quiz 2,13,ST_UG
Quiz 3,11,ST_UG
Quiz 4,11,ST_UG
Quiz 5,13,ST_UG
Quiz 6,14,ST_UG
Quiz 7,13,ST_UG
Quiz 8,7,ST_UG
Quiz 9,7,ST_UG
Quiz 10,13,ST_UG
Quiz 11,7,ST_UG
Quiz Tot,8.866666666666667,ST_UG
Quiz 1,0,ST_UG
Quiz 2,10,ST_UG
Quiz 3,14,ST_UG
Quiz 4,13,ST_UG
Quiz 5,0,ST_UG
Quiz 6,10,ST_UG
Quiz 7,6,ST_UG
Quiz 8,7,ST_UG
Quiz 9,7,ST_UG
Quiz 10,12,ST_UG
Quiz 11,0,ST_UG
Quiz Tot,6.3999999999999995,ST_UG
Quiz 1,0,ST_PG
Quiz 2,14,ST_PG
Quiz 3,15,ST_PG
Quiz 4,12,ST_PG
Quiz 5,12,ST_PG
Quiz 6,12,ST_PG
Quiz 7,13,ST_PG
Quiz 8,9,ST_PG
Quiz 9,10,ST_PG
Quiz 10,12,ST_PG
Quiz 11,10,ST_PG
Quiz Tot,9.566666666666666,ST_PG
Quiz 1,0,ST_UG
Quiz 2,10,ST_UG
Quiz 3,11,ST_UG
Quiz 4,11,ST_UG
Quiz 5,11,ST_UG
Quiz 6,11,ST_UG
Quiz 7,10,ST_UG
Quiz 8,8,ST_UG
Quiz 9,9,ST_UG
Quiz 10,0,ST_UG
Quiz 11,6,ST_UG
Quiz Tot,7.233333333333333,ST_UG
Quiz 1,9,ST_UG
Quiz 2,9,ST_UG
Quiz 3,12,ST_UG
Quiz 4,13,ST_UG
Quiz 5,11,ST_UG
Quiz 6,12,ST_UG
Quiz 7,10,ST_UG
Quiz 8,6,ST_UG
Quiz 9,9,ST_UG
Quiz 10,11,ST_UG
Quiz 11,8,ST_UG
Quiz Tot,8.166666666666666,ST_UG
Quiz 1,12,ST_UG
Quiz 2,13,ST_UG
Quiz 3,13,ST_UG
Quiz 4,10,ST_UG
Quiz 5,13,ST_UG
Quiz 6,11,ST_UG
Quiz 7,13,ST_UG
Quiz 8,6,ST_UG
Quiz 9,5,ST_UG
Quiz 10,12,ST_UG
Quiz 11,8,ST_UG
Quiz Tot,8.533333333333333,ST_UG
Quiz 1,13,ST_UG
Quiz 2,14,ST_UG
Quiz 3,15,ST_UG
Quiz 4,14,ST_UG
Quiz 5,15,ST_UG
Quiz 6,0,ST_UG
Quiz 7,0,ST_UG
Quiz 8,0,ST_UG
Quiz 9,0,ST_UG
Quiz 10,0,ST_UG
Quiz 11,0,ST_UG
Quiz Tot,5.3999999999999995,ST_UG
Quiz 1,8,ST_UG
Quiz 2,9,ST_UG
Quiz 3,12,ST_UG
Quiz 4,11,ST_UG
Quiz 5,10,ST_UG
Quiz 6,11,ST_UG
Quiz 7,10,ST_UG
Quiz 8,9,ST_UG
Quiz 9,9,ST_UG
Quiz 10,14,ST_UG
Quiz 11,6,ST_UG
Quiz Tot,8.200000000000001,ST_UG
Quiz 1,0,ST_UG
Quiz 2,0,ST_UG
Quiz 3,0,ST_UG
Quiz 4,0,ST_UG
Quiz 5,0,ST_UG
Quiz 6,0,ST_UG
Quiz 7,0,ST_UG
Quiz 8,0,ST_UG
Quiz 9,9,ST_UG
Quiz 10,9,ST_UG
Quiz 11,0,ST_UG
Quiz Tot,2.1666666666666665,ST_UG
Quiz 1,0,ST_UG
Quiz 2,14,ST_UG
Quiz 3,15,ST_UG
Quiz 4,11,ST_UG
Quiz 5,14,ST_UG
Quiz 6,0,ST_UG
Quiz 7,9,ST_UG
Quiz 8,10,ST_UG
Quiz 9,8,ST_UG
Quiz 10,13,ST_UG
Quiz 11,8,ST_UG
Quiz Tot,8.333333333333334,ST_UG
Quiz 1,11,ST_PG
Quiz 2,15,ST_PG
Quiz 3,14,ST_PG
Quiz 4,14,ST_PG
Quiz 5,15,ST_PG
Quiz 6,15,ST_PG
Quiz 7,14,ST_PG
Quiz 8,7,ST_PG
Quiz 9,7,ST_PG
Quiz 10,14,ST_PG
Quiz 11,9,ST_PG
Quiz Tot,9.733333333333333,ST_PG
Quiz 1,8,ST_UG
Quiz 2,8,ST_UG
Quiz 3,0,ST_UG
Quiz 4,13,ST_UG
Quiz 5,8,ST_UG
Quiz 6,13,ST_UG
Quiz 7,12,ST_UG
Quiz 8,6,ST_UG
Quiz 9,7,ST_UG
Quiz 10,0,ST_UG
Quiz 11,9,ST_UG
Quiz Tot,7,ST_UG
Quiz 1,13,ST_UG
Quiz 2,13,ST_UG
Quiz 3,14,ST_UG
Quiz 4,15,ST_UG
Quiz 5,7,ST_UG
Quiz 6,0,ST_UG
Quiz 7,15,ST_UG
Quiz 8,6,ST_UG
Quiz 9,10,ST_UG
Quiz 10,10,ST_UG
Quiz 11,10,ST_UG
Quiz Tot,9.066666666666666,ST_UG
Quiz 1,10,ST_UG
Quiz 2,14,ST_UG
Quiz 3,11,ST_UG
Quiz 4,12,ST_UG
Quiz 5,8,ST_UG
Quiz 6,9,ST_UG
Quiz 7,10,ST_UG
Quiz 8,8,ST_UG
Quiz 9,10,ST_UG
Quiz 10,12,ST_UG
Quiz 11,0,ST_UG
Quiz Tot,7.666666666666667,ST_UG
Quiz 1,12,ST_UG
Quiz 2,15,ST_UG
Quiz 3,15,ST_UG
